"country","step","year","irw_c","irw_b","fw_c","fw_b","total"
"PL",12,2011,29962596,8677652,2952290,3023440,44615978
"PL",13,2012,29801694,8600038,3104634,2947135,44453501
"PL",14,2013,30919974,9634085,3181810,2990743,46726612
"PL",15,2014,32978194,9834410,3209059,3012782,49034446
"PL",16,2015,33756000,9996000,3216000,3048000,50016000
"PT",1,1995,6165000,4623240,231250,371700,11391190
"PT",2,1996,5718750,4546540,231250,430700,10927240
"PT",3,1997,5718750,4546540,231250,430700,10927240
"PT",4,1998,5230000,4441520,250000,472000,10393520
"PT",5,1999,5225000,4953640,250000,472000,10900640
"PT",6,2000,6227500,6193820,250000,472000,13143320
"PT",7,2001,4697500,5413840,250000,472000,10833340
"PT",8,2002,3856250,5967260,250000,472000,10545510
"PT",9,2003,4165000,6774380,250000,472000,11661380
"PT",10,2004,4971250,7424560,250000,472000,13117810
"PT",11,2005,4085504,8115845,250000,472000,12923349
"PT",12,2006,4376129,7910407,250000,472000,13008536
"PT",13,2007,4546230,7771364,250000,472000,13039594
"PT",14,2008,3894582,7614638,250000,472000,12231220
"PT",15,2009,4274308,6542655,250000,472000,11538963
"PT",16,2010,4314499,6604178,250000,472000,11640677
"PT",17,2011,4072008,6232996,250000,472000,11027004
"PT",18,2012,3932926,7699376,250000,472000,12354302
"PT",19,2013,2927874,9584112,250000,5e+05,13261986
"PT",20,2014,3285389,9905076,250000,5e+05,13940465
"PT",21,2015,3492319,10174401,250000,5e+05,14416720
"RO",1,1990,3801000,6924000,1654145,3013232,15392377
"RO",2,1991,3304000,7657000,1508624,3496228,15965852
"RO",3,1992,3110000,7330000,1874444,4417901,16732345
"RO",4,1993,2123000,5617000,2374226,6281690,16395916
"RO",5,1994,3754000,5886000,2959540,4640343,17239883
"RO",6,1995,4173000,5842000,2228877,3120321,15364198
"RO",7,1996,4279000,5162000,2299828,2774412,14515240
"RO",8,1997,4810000,5027000,2303720,2407650,14548370
"RO",9,1998,4399000,4230000,4800576,4616148,18045724
"RO",10,1999,4726200,4757300,5262087,5296713,20042300
"RO",11,2000,4586500,5529500,4849671,5846779,20812450
"RO",12,2001,4325000,5481000,5113154,6479815,21398969
"RO",13,2002,6027000,6065000,2479767,2495402,17067169
"RO",14,2003,6199000,6338000,4722726,4828623,22088349
"RO",15,2004,5550000,7244000,4343478,5669216,22806694
"RO",16,2005,5262000,6280000,4388392,5237382,21167774
"RO",17,2006,3760000,5694000,5762981,8727237,23944218
"RO",18,2007,5934000,5638000,5817384,5527202,22916586
"RO",19,2008,4693800,4823500,7393357,7597651,24508308
"RO",20,2009,4228100,4359200,8235881,8491249,25314430
"RO",21,2010,4728582,5819470,6916012,8511541,25975605
"RO",22,2011,5107846,5236606,5889658,6038127,22272237
"RO",23,2012,5393956,5656381,5588282,5860161,22498780
"RO",24,2013,4947357,5144126,6181634,6427493,22700610
"RO",25,2014,5329952,5154333,6299374,6091813,22875472
"RO",26,2015,6507819,6926299,1049896,5654916,20138930
"SK",1,2000,3389002,3179445,164912,144111,6877470
"SK",2,2001,3192230,3356482,149153,168556,6866422
"SK",3,2002,3399052,3267929,165627,147310,6979918
"SK",4,2003,3687695,3359804,184729,169352,7401579
"SK",5,2004,4233710,3489705,169087,170202,8062703
"SK",6,2005,7439023,3477687,181171,176972,11274854
"SK",7,2006,5496411,3400277,168647,191789,9257125
"SK",8,2007,5704150,3290646,274332,209628,9478756
"SK",9,2008,6629585,3218545,360297,267608,10476035
"SK",10,2009,6420823,3146040,381011,286382,10234255
"SK",11,2010,6543877,3785696,314909,273676,10918159
"SK",12,2011,5701977,4055365,361431,374479,10493252
"SK",13,2012,4717964,3758176,333605,318270,9128015
"SK",14,2013,4065816,4044261,392528,366241,8868846
"SK",15,2014,5379165,4089547,284944,331122,10084778
"SK",16,2015,4866966,4411324,261518,354255,9894064
"SI",1,2000,1414530,578560,0,601160,2594250
"SI",2,2001,1451970,814730,0,333350,2600050
